,month_of_crash,day_of_week,hour_of_crash,manner_of_collision,light_condition,land_use,latitude,longitude,atmospheric_conditions_1,number_of_drunk_drivers,number_of_fatalities
0,2,4,7,0,1,1,39.29463056,-102.53277778,4,0,1
1,2,1,2,0,3,2,36.81472222,-76.34784167,1,0,1
2,4,4,6,0,1,2,36.83286667,-76.19591111,1,0,1
3,4,5,5,0,3,2,36.91277778,-76.26305556,1,1,1
4,1,1,8,0,1,1,41.4718,-104.8931,11,0,1
5,2,1,21,0,3,2,36.06600556,-115.18363611,2,0,1
6,10,2,8,0,1,1,37.06599167,-76.42815833,1,0,1
7,9,1,22,0,2,1,36.56222222,-78.17944444,1,0,1
8,10,2,8,0,1,1,36.95916667,-77.39277778,1,0,1
9,12,1,6,0,2,2,37.24395833,-77.29846111,1,0,1
10,2,2,12,0,1,1,37.28975556,-77.38946389,1,0,1
11,9,2,14,0,1,2,36.79897778,-76.37997778,1,0,2
12,11,3,12,0,1,1,41.68193333,-92.98368056,10,0,2
13,3,4,9,0,1,2,26.12294167,-80.35647778,1,0,2
14,1,3,7,0,1,1,29.69316389,-96.572725,1,0,1
15,2,7,11,0,1,1,42.26905833,-84.5804,1,0,1
16,12,3,13,0,1,1,47.07643611,-114.76628056,4,0,1
17,12,1,8,0,1,1,31.044475,-104.76328889,4,0,1
18,12,2,13,0,1,1,46.0271,-107.81294167,4,0,1
19,11,3,11,0,1,1,46.60579167,-113.00132778,4,0,1
20,11,5,1,0,2,1,40.24423611,-103.95652778,4,0,1
21,12,7,19,0,2,1,39.28219444,-103.30852778,4,0,1
22,2,2,7,0,1,1,35.49306667,-108.49221111,4,0,1
23,11,6,17,0,2,2,37.76452222,-113.01214444,4,0,1
24,1,1,5,0,2,1,35.84558333,-94.18388611,12,0,1
25,12,2,6,0,4,1,46.89258889,-98.45746944,12,0,1
26,12,6,23,0,2,1,29.52931944,-95.86610833,1,0,1
27,5,5,17,0,1,2,38.36301944,-121.96731944,1,0,1
28,9,7,12,0,1,2,38.45056389,-89.55033333,1,0,1
29,3,7,7,0,1,2,35.4482,-94.7806,1,0,1
30,4,5,7,0,1,2,39.77837222,-104.91763889,1,0,1
31,8,4,17,0,1,2,34.08148889,-117.73066111,1,0,1
32,7,4,17,0,1,2,33.38652778,-86.78304444,1,0,1
33,5,7,20,0,1,2,32.80710833,-85.22606389,1,0,1
34,2,3,23,0,3,2,29.83664722,-95.33383056,2,1,1
35,1,1,8,0,1,2,47.45598889,-122.26352222,2,0,1
36,10,7,16,0,1,2,31.75160833,-106.34350556,2,0,1
37,8,1,10,0,1,2,33.76799444,-84.65463889,2,0,1
38,9,7,3,0,3,2,41.43926944,-81.8027,2,1,1
39,3,7,15,0,1,2,26.08088333,-80.16676667,2,0,1
40,2,6,13,0,8,1,35.58903056,-89.08061111,3,0,1
41,1,7,7,0,4,1,31.06613056,-104.21583889,3,0,1
42,1,4,5,0,4,2,37.65944444,-77.44694444,3,0,1
43,3,3,14,0,1,2,37.16820833,-113.44891389,3,0,1
44,11,2,19,0,2,1,34.199975,-88.1476,2,0,1
45,8,2,15,0,1,1,36.96681667,-77.71414444,2,0,1
46,1,5,4,0,2,2,46.51380833,-120.45356111,2,0,1
47,12,7,11,0,1,2,29.21279722,-81.10077222,2,0,1
48,7,4,20,0,1,1,30.50326111,-84.45821944,2,1,1
49,1,6,20,0,2,1,35.39327778,-115.83077778,2,1,1
50,5,7,13,0,1,1,40.47194444,-103.28728333,2,0,1
51,10,5,17,0,1,1,38.81835,-111.15858611,2,1,2
52,5,4,19,0,1,1,35.10931111,-86.884,2,0,1
53,4,7,4,0,2,1,31.19613611,-87.32029167,2,1,1
54,11,7,3,0,2,1,28.37926944,-98.05463333,2,0,1
55,7,7,21,0,1,1,43.05100556,-115.58132222,2,0,1
56,1,7,9,0,1,1,30.70103889,-101.225,2,0,1
57,1,6,14,0,1,1,34.67079167,-111.77820833,2,0,2
58,7,2,9,0,1,1,37.85795833,-80.514725,2,0,1
59,1,2,7,0,1,1,34.60187222,-79.10276667,2,0,1
60,3,1,21,0,2,1,32.37508056,-99.0151,2,0,1
61,11,2,11,0,1,1,32.32495,-101.20073611,6,0,1
62,10,7,9,0,1,1,40.20431944,-89.29664167,6,0,1
63,10,2,99,0,9,1,30.3987,-90.43101111,99,1,1
64,6,7,3,0,9,1,38.60614167,-112.50830556,99,0,1
65,5,7,12,0,1,1,32.256225,-108.51276389,8,0,1
66,12,5,9,0,1,1,44.42842222,-103.57282778,11,0,1
67,9,3,0,0,2,1,41.06339444,-77.39639167,5,0,1
68,12,6,6,0,2,1,47.20202222,-118.24330833,5,0,1
69,11,3,0,0,2,1,35.81948889,-88.2587,5,0,1
70,8,1,15,0,1,1,47.22851944,-111.7649,5,0,1
71,11,2,16,0,5,1,42.08883611,-122.60321111,5,0,1
72,6,1,14,0,1,1,42.676475,-88.51972778,10,0,1
73,10,4,9,0,1,1,38.88257222,-111.58693333,10,0,1
74,8,2,11,0,1,1,35.25581667,-111.92266111,10,0,1
75,1,7,5,0,3,1,39.61982222,-119.20596389,10,0,1
76,6,7,12,0,1,1,35.3832,-97.0903,10,0,1
77,6,1,13,0,1,1,44.91809722,-92.04490833,10,0,1
78,12,3,19,0,2,2,46.19943056,-119.32198889,10,0,3
79,7,7,20,0,3,2,38.80511111,-90.80261111,10,1,1
80,7,1,21,0,3,2,30.14999167,-81.54614167,10,1,1
81,11,3,21,0,3,2,28.30083333,-81.57561667,10,0,1
82,10,1,3,0,2,2,42.78660833,-71.26544167,10,1,2
83,4,1,4,0,3,1,33.27123056,-117.44096667,10,0,1
84,3,6,23,0,2,1,33.900625,-87.46942778,10,0,1
85,12,6,23,0,2,2,47.39580278,-122.29168056,10,1,1
86,10,6,3,0,2,1,32.82805,-111.92279722,10,0,1
87,1,7,22,0,2,2,32.51078056,-92.19543056,10,1,1
88,12,5,17,0,2,2,36.54248056,-87.23696111,10,0,1
89,10,1,21,0,2,2,34.95079444,-85.17610556,10,0,1
90,8,1,2,0,2,1,38.66950556,-112.58813333,10,0,1
91,5,4,8,0,1,1,28.01081944,-99.36378889,10,0,1
92,5,6,13,0,1,1,35.17775278,-111.34679444,10,0,1
93,8,3,19,0,5,1,33.63561667,-113.79721111,10,0,1
94,5,3,21,0,2,1,30.70791111,-86.72106111,10,1,1
95,11,5,19,0,2,2,35.26516389,-80.96696667,10,0,1
96,3,6,0,0,2,2,29.04076944,-81.00538056,10,0,1
97,4,4,23,0,2,2,30.36188056,-89.74216111,10,0,1
98,5,7,0,0,2,2,37.79512222,-122.20773333,10,1,1
99,10,7,21,0,3,2,30.23461111,-97.74045278,10,0,1
100,7,5,22,0,3,2,43.67684167,-116.68684444,10,1,1
101,10,6,22,0,3,2,36.06145278,-115.178875,10,1,1
102,12,2,5,0,3,2,36.06044444,-115.17996667,10,1,1
103,7,6,19,0,1,1,44.71448889,-91.34775833,10,0,1
104,3,1,6,0,1,1,34.87436944,-111.63476111,10,0,1
105,4,4,14,0,1,1,35.4228,-94.7046,10,0,1
106,2,6,15,0,1,1,42.74885556,-123.365275,10,0,1
107,2,6,14,0,1,1,28.6544,-82.15238056,10,0,2
108,10,4,17,0,1,1,40.82245278,-97.95776944,10,0,1
109,12,3,15,0,1,1,35.292325,-109.1491,10,0,1
110,7,7,18,0,1,1,35.32158889,-99.60853056,10,0,1
111,8,7,16,0,1,1,42.23884722,-113.08746944,10,0,2
112,11,2,17,0,5,1,35.20176389,-111.44723611,10,1,1
113,5,3,7,0,1,1,27.11273056,-82.32128889,10,0,1
114,7,5,7,0,1,1,42.00627222,-96.11664444,10,0,1
115,12,3,5,0,2,1,43.85953056,-93.27963611,10,0,1
116,10,6,12,0,1,1,44.01417778,-90.491025,10,0,1
117,7,6,6,0,1,1,38.89716667,-91.59958333,10,0,1
118,5,6,1,0,2,1,35.20878889,-102.92426944,10,0,1
