date,avg_temp,max_temp,min_temp,mean_wind_speed,max_sus_wind_speed,crime_count
2001-01-01,24.7,30.2,17.6,5.8,12,1817
2001-01-02,20.2,24.8,14,9.3,15.9,1143
2001-01-03,21.9,30.2,12.2,12.4,15,1151
2001-01-04,28.6,30.2,24.8,12.2,16.9,1166
2001-01-05,34.6,39.2,28.4,14.4,18.1,1267
2001-01-06,31.3,37.4,24.8,13,20,1290
2001-01-07,33.1,35.6,30.2,9.9,20,1104
2001-01-08,27.8,30.2,24.8,11.4,20,1157
2001-01-09,24.9,28.4,21.2,14.2,20,1184
2001-01-10,28.2,35.6,21.2,14.3,25.1,1237
2001-01-11,35.2,42.8,28.4,10.4,15,1227
2001-01-12,35.4,39.2,32,7.1,9.9,1353
2001-01-13,35.5,37.4,33.8,9.3,15,1310
2001-01-14,36.6,39.2,33.8,11.1,14,1118
2001-01-15,36.7,39.2,35.6,14.6,20,1312
2001-01-16,32.8,35.6,30.2,11.7,15.9,1251
2001-01-17,29,32,26.6,9.1,12,1288
2001-01-18,28.3,33.8,23,11,15,1278
2001-01-19,29.9,32,26.6,14.9,20,1214
2001-01-20,26,30.2,23,9.8,15,1256
2001-01-21,23.5,30.2,15.8,9.6,15.9,1105
2001-01-22,27.2,32,21.2,8.5,13,1180
2001-01-23,34.2,41,28.4,9.5,14,1250
2001-01-24,27.7,32,23,11.4,15.9,1101
2001-01-25,26.3,30.2,19.4,11.4,15,1183
2001-01-26,29,32,24.8,11.5,15.9,1296
2001-01-27,27.9,32,21.2,12.2,20,1214
2001-01-28,24.1,30.2,19.4,10.6,15,1076
2001-01-29,33.7,37.4,28.4,12.5,19,1172
2001-01-30,36.8,39.2,33.8,9.3,20,1211
2001-01-31,35.8,37.4,33.8,12.2,20,1189
2001-02-01,31.3,35.6,24.8,11.5,14,1332
2001-02-02,12.2,26.6,1.4,15.3,20,1236
2001-02-03,22.4,30.2,14,12.6,15,1184
2001-02-04,35.1,37.4,30.2,8.5,14,1149
2001-02-05,31.7,35.6,28.4,11.3,15.9,1313
2001-02-06,32.6,35.6,32,9.4,12,1195
2001-02-07,30.4,35.6,24.8,9.1,19,1245
2001-02-08,41.4,48.2,33.8,9.9,16.9,1242
2001-02-09,44.7,53.6,32,14.4,20,1285
2001-02-10,23.2,32,17.6,11.4,25.1,1089
2001-02-11,25.8,30.2,19.4,11.7,15,1049
2001-02-12,33.4,41,26.6,12,20,1235
2001-02-13,36.1,37.4,33.8,7.2,13,1241
2001-02-14,35.1,37.4,32,10.3,15.9,1228
2001-02-15,32.1,33.8,30.2,11.4,15.9,1294
2001-02-16,31.8,33.8,28.4,11.6,15.9,1213
2001-02-17,19.4,26.6,10.4,14.5,18.1,1077
2001-02-18,21.3,30.2,12.2,13.5,20,1080
2001-02-19,38,46.4,30.2,14.7,20,1211
2001-02-20,35.8,41,30.2,11.5,20,1256
2001-02-21,20.4,28.4,14,12.4,20,1223
2001-02-22,26.9,32,21.2,12.8,20,1126
2001-02-23,26.8,32,21.2,11.4,20,1201
2001-02-24,33.7,37.4,28.4,13.6,18.1,1237
2001-02-25,36.9,51.8,32,21.7,29.9,1162
2001-02-26,34.4,42.8,26.6,12.6,25.1,1203
2001-02-27,29.2,37.4,26.6,13,20,1247
2001-02-28,24,30.2,15.8,8.8,12,1226
2001-03-01,33.1,42.8,24.8,14.1,20,1591
2001-03-02,38.2,44.6,33.8,13.8,20,1397
2001-03-03,38.5,42.8,32,4.3,8,1323
2001-03-04,32.8,35.6,30.2,15.4,25.1,1162
2001-03-05,26.9,30.2,21.2,15.6,20,1232
2001-03-06,29.6,33.8,26.6,12.6,15.9,1247
2001-03-07,37.4,46.4,28.4,11.4,20,1369
2001-03-08,34.2,37.4,32,13.7,20,1356
2001-03-09,33.8,37.4,28.4,9.8,15,1419
