avg_temp,max_temp,min_temp,mean_wind_speed,max_sus_wind_speed,crime_count
24.7,30.2,17.6,5.8,12,1817
20.2,24.8,14,9.3,15.9,1143
21.9,30.2,12.2,12.4,15,1151
28.6,30.2,24.8,12.2,16.9,1166
34.6,39.2,28.4,14.4,18.1,1267
31.3,37.4,24.8,13,20,1290
33.1,35.6,30.2,9.9,20,1104
27.8,30.2,24.8,11.4,20,1157
24.9,28.4,21.2,14.2,20,1184
28.2,35.6,21.2,14.3,25.1,1237
35.2,42.8,28.4,10.4,15,1227
35.4,39.2,32,7.1,9.9,1353
35.5,37.4,33.8,9.3,15,1310
36.6,39.2,33.8,11.1,14,1118
36.7,39.2,35.6,14.6,20,1312
32.8,35.6,30.2,11.7,15.9,1251
29,32,26.6,9.1,12,1288
28.3,33.8,23,11,15,1278
29.9,32,26.6,14.9,20,1214
26,30.2,23,9.8,15,1256
23.5,30.2,15.8,9.6,15.9,1105
27.2,32,21.2,8.5,13,1180
34.2,41,28.4,9.5,14,1250
27.7,32,23,11.4,15.9,1101
26.3,30.2,19.4,11.4,15,1183
29,32,24.8,11.5,15.9,1296
27.9,32,21.2,12.2,20,1214
24.1,30.2,19.4,10.6,15,1076
33.7,37.4,28.4,12.5,19,1172
36.8,39.2,33.8,9.3,20,1211
35.8,37.4,33.8,12.2,20,1189
31.3,35.6,24.8,11.5,14,1332
12.2,26.6,1.4,15.3,20,1236
22.4,30.2,14,12.6,15,1184
35.1,37.4,30.2,8.5,14,1149
31.7,35.6,28.4,11.3,15.9,1313
32.6,35.6,32,9.4,12,1195
30.4,35.6,24.8,9.1,19,1245
41.4,48.2,33.8,9.9,16.9,1242
44.7,53.6,32,14.4,20,1285
23.2,32,17.6,11.4,25.1,1089
25.8,30.2,19.4,11.7,15,1049
33.4,41,26.6,12,20,1235
36.1,37.4,33.8,7.2,13,1241
35.1,37.4,32,10.3,15.9,1228
32.1,33.8,30.2,11.4,15.9,1294
31.8,33.8,28.4,11.6,15.9,1213
19.4,26.6,10.4,14.5,18.1,1077
21.3,30.2,12.2,13.5,20,1080
38,46.4,30.2,14.7,20,1211
35.8,41,30.2,11.5,20,1256
20.4,28.4,14,12.4,20,1223
26.9,32,21.2,12.8,20,1126
26.8,32,21.2,11.4,20,1201
33.7,37.4,28.4,13.6,18.1,1237
36.9,51.8,32,21.7,29.9,1162
34.4,42.8,26.6,12.6,25.1,1203
29.2,37.4,26.6,13,20,1247
24,30.2,15.8,8.8,12,1226
33.1,42.8,24.8,14.1,20,1591
38.2,44.6,33.8,13.8,20,1397
38.5,42.8,32,4.3,8,1323
32.8,35.6,30.2,15.4,25.1,1162
26.9,30.2,21.2,15.6,20,1232
29.6,33.8,26.6,12.6,15.9,1247
37.4,46.4,28.4,11.4,20,1369
34.2,37.4,32,13.7,20,1356
33.8,37.4,28.4,9.8,15,1419
40.8,50,32,11.3,19,1266
37.4,48.2,32,12.4,20,1144
39.9,48.2,32,12.9,15,1264
40.3,50,33.8,14.8,20,1291
43.8,51.8,35.6,10,16.9,1317
40.3,48.2,37.4,16.3,25.1,1258
33.7,35.6,32,22.4,25.1,1256
34.6,37.4,32,13.8,19,1088
36.1,39.2,32,8.1,12,1191
37.4,41,32,5.2,9.9,1344
40,44.6,35.6,9.8,12,1433
42.6,46.4,37.4,12.9,19,1373
40.3,44.6,37.4,9.2,16.9,1373
40.6,48.2,37.4,8.3,15,1481
34.6,42.8,30.2,12.6,16.9,1338
25.8,32,21.2,13.1,15,1102
27.6,33.8,19.4,11.6,15.9,1215
34,35.6,32,8.1,9.9,1409
42,50,33.8,10.7,15,1321
42.3,46.4,39.2,8.9,12,1337
41.2,46.4,37.4,9.6,15,1350
42.7,48.2,37.4,10,15,1305
42.5,48.2,33.8,12.6,15,1358
44.6,48.2,41,5.8,8,1322
40.7,44.6,37.4,17.3,25.1,1353
42.5,44.6,39.2,11.8,14,1345
46.9,57.2,41,6.7,15,1273
51.6,64.4,42.8,9.7,13,1381
67.8,82.4,42.8,15.7,20,1352
61.4,77,50,12,20,1319
48.3,53.6,44.6,11.9,20,1337
