avg_temp,max_temp,min_temp,mean_wind_speed,max_sus_wind_speed
24.7,30.2,17.6,5.8,12.0
20.2,24.8,14.0,9.3,15.9
21.9,30.2,12.2,12.4,15.0
28.6,30.2,24.8,12.2,16.9
34.6,39.2,28.4,14.4,18.1
31.3,37.4,24.8,13.0,20.0
33.1,35.6,30.2,9.9,20.0
27.8,30.2,24.8,11.4,20.0
24.9,28.4,21.2,14.2,20.0
28.2,35.6,21.2,14.3,25.1
35.2,42.8,28.4,10.4,15.0
35.4,39.2,32.0,7.1,9.9
35.5,37.4,33.8,9.3,15.0
36.6,39.2,33.8,11.1,14.0
36.7,39.2,35.6,14.6,20.0
32.8,35.6,30.2,11.7,15.9
29.0,32.0,26.6,9.1,12.0
28.3,33.8,23.0,11.0,15.0
29.9,32.0,26.6,14.9,20.0
26.0,30.2,23.0,9.8,15.0
23.5,30.2,15.8,9.6,15.9
27.2,32.0,21.2,8.5,13.0
34.2,41.0,28.4,9.5,14.0
27.7,32.0,23.0,11.4,15.9
26.3,30.2,19.4,11.4,15.0
29.0,32.0,24.8,11.5,15.9
27.9,32.0,21.2,12.2,20.0
24.1,30.2,19.4,10.6,15.0
33.7,37.4,28.4,12.5,19.0
36.8,39.2,33.8,9.3,20.0
35.8,37.4,33.8,12.2,20.0
31.3,35.6,24.8,11.5,14.0
12.2,26.6,1.4,15.3,20.0
22.4,30.2,14.0,12.6,15.0
35.1,37.4,30.2,8.5,14.0
31.7,35.6,28.4,11.3,15.9
32.6,35.6,32.0,9.4,12.0
30.4,35.6,24.8,9.1,19.0
41.4,48.2,33.8,9.9,16.9
44.7,53.6,32.0,14.4,20.0
23.2,32.0,17.6,11.4,25.1
25.8,30.2,19.4,11.7,15.0
33.4,41.0,26.6,12.0,20.0
36.1,37.4,33.8,7.2,13.0
35.1,37.4,32.0,10.3,15.9
32.1,33.8,30.2,11.4,15.9
31.8,33.8,28.4,11.6,15.9
19.4,26.6,10.4,14.5,18.1
21.3,30.2,12.2,13.5,20.0
38.0,46.4,30.2,14.7,20.0
35.8,41.0,30.2,11.5,20.0
20.4,28.4,14.0,12.4,20.0
26.9,32.0,21.2,12.8,20.0
26.8,32.0,21.2,11.4,20.0
33.7,37.4,28.4,13.6,18.1
36.9,51.8,32.0,21.7,29.9
34.4,42.8,26.6,12.6,25.1
29.2,37.4,26.6,13.0,20.0
24.0,30.2,15.8,8.8,12.0
33.1,42.8,24.8,14.1,20.0
38.2,44.6,33.8,13.8,20.0
38.5,42.8,32.0,4.3,8.0
32.8,35.6,30.2,15.4,25.1
26.9,30.2,21.2,15.6,20.0
29.6,33.8,26.6,12.6,15.9
37.4,46.4,28.4,11.4,20.0
34.2,37.4,32.0,13.7,20.0
33.8,37.4,28.4,9.8,15.0
40.8,50.0,32.0,11.3,19.0
37.4,48.2,32.0,12.4,20.0
39.9,48.2,32.0,12.9,15.0
40.3,50.0,33.8,14.8,20.0
43.8,51.8,35.6,10.0,16.9
40.3,48.2,37.4,16.3,25.1
33.7,35.6,32.0,22.4,25.1
34.6,37.4,32.0,13.8,19.0
36.1,39.2,32.0,8.1,12.0
37.4,41.0,32.0,5.2,9.9
40.0,44.6,35.6,9.8,12.0
42.6,46.4,37.4,12.9,19.0
40.3,44.6,37.4,9.2,16.9
40.6,48.2,37.4,8.3,15.0
34.6,42.8,30.2,12.6,16.9
25.8,32.0,21.2,13.1,15.0
27.6,33.8,19.4,11.6,15.9
34.0,35.6,32.0,8.1,9.9
42.0,50.0,33.8,10.7,15.0
42.3,46.4,39.2,8.9,12.0
41.2,46.4,37.4,9.6,15.0
42.7,48.2,37.4,10.0,15.0
42.5,48.2,33.8,12.6,15.0
44.6,48.2,41.0,5.8,8.0
40.7,44.6,37.4,17.3,25.1
42.5,44.6,39.2,11.8,14.0
46.9,57.2,41.0,6.7,15.0
51.6,64.4,42.8,9.7,13.0
67.8,82.4,42.8,15.7,20.0
61.4,77.0,50.0,12.0,20.0
48.3,53.6,44.6,11.9,20.0
45.2,48.2,42.8,12.6,20.0
59.2,75.2,46.4,9.6,15.9
56.5,69.8,50.0,20.5,29.9
49.5,53.6,44.6,11.2,20.0
53.6,60.8,44.6,7.4,11.1
48.6,51.8,46.4,9.6,20.0
40.4,51.8,33.8,15.1,22.0
38.0,42.8,32.0,16.7,22.0
45.5,51.8,37.4,9.3,14.0
55.4,68.0,42.8,9.7,15.9
65.9,77.0,53.6,13.1,16.9
72.6,78.8,64.4,17.8,20.0
57.3,77.0,50.0,9.3,15.0
68.2,75.2,53.6,17.1,25.1
51.5,55.4,44.6,12.2,25.1
53.5,57.2,48.2,7.9,12.0
62.5,77.0,50.0,11.2,20.0
58.1,75.2,50.0,13.8,15.9
52.5,57.2,48.2,10.1,15.0
59.0,64.4,51.8,8.1,13.0
73.3,84.2,59.0,10.7,15.9
77.1,82.4,68.0,12.1,15.9
76.5,82.4,66.2,13.7,16.9
78.3,86.0,68.0,12.4,15.0
54.7,82.4,50.0,14.1,20.0
53.7,57.2,50.0,13.6,20.0
58.3,64.4,53.6,8.2,15.0
66.6,69.8,60.8,13.3,20.0
68.8,77.0,53.6,12.4,20.0
72.8,80.6,62.6,11.0,16.9
74.3,84.2,62.6,12.7,20.0
57.1,73.4,48.2,12.8,20.0
50.8,55.4,46.4,14.8,20.0
54.4,60.8,48.2,6.8,9.9
58.8,66.2,51.8,12.7,25.1
76.2,89.6,59.0,11.9,15.0
74.6,86.0,64.4,8.0,12.0
63.0,68.0,57.2,6.2,12.0
62.6,68.0,59.0,14.7,15.9
61.2,64.4,57.2,12.4,15.0
63.7,73.4,57.2,8.8,14.0
66.1,69.8,64.4,12.5,20.0
58.9,64.4,51.8,14.0,20.0
56.5,62.6,51.8,9.5,14.0
